id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1155451159383604646,Home in Dallas,577260160,Summer,,District 7,32.74344981705199,-96.75036232054944,Entire home/apt,186,2,4,2024-08-04,3.24,1,222,4,
1155780674334754111,Stunning Retreat in Dallas,577339722,Allison,,District 4,32.69942,-96.79773,Entire home/apt,275,1,0,,,1,175,0,
1155879434472636561,5BR Dallas Getaway | Fast Wi-Fi & Pet-Friendly Yar,575488359,Joseph,,District 6,32.78159083782465,-96.8459826297567,Entire home/apt,326,2,5,2024-07-28,1.65,5,88,5,
1155884705974748695,Family Retreat with Pool near Downtown Dallas,575488359,Joseph,,District 2,32.79309,-96.76943,Entire home/apt,556,2,5,2024-08-12,2.11,5,114,5,
1156042640657494465,"Skyline, BoHo Modern, Earthy No. 1601",429952199,Kayli,,District 2,32.771166689567515,-96.79004989461525,Entire home/apt,134,1,4,2024-06-11,1.26,39,138,4,
1156070687863374650,Luxury 1/1 Apt with Amenities Near Med Campuses,401717991,Bb,,District 2,32.80791,-96.81719,Entire home/apt,85,5,1,2024-08-09,1,1,104,1,
1156104372989149901,Cozy & Luxurious Apartment in Deep Ellum,577437348,Alberto,,District 2,32.78344364657986,-96.77992964359022,Entire home/apt,139,1,11,2024-06-25,3.59,1,201,11,
1156406071908858805,3BR Home Lower Bishop Arts Near Downtown,575488359,Joseph,,District 1,32.72833,-96.85792,Entire home/apt,198,2,1,2024-07-21,1,5,89,1,
1156607624914834833,Cozy 2BR 2BA near Downtown  Deep Ellum Dos Equis,308929607,Adriana,,District 2,32.791258757052454,-96.7587594243181,Entire home/apt,111,1,0,,,15,89,0,
1156722107717825420,1 Guest room available in Royal LN,345562771,Idiat,,District 10,32.89463890889884,-96.71348078440326,Private room,50,1,4,2024-06-15,1.33,3,362,4,
1156794563899806748,Homey Southern Texas House,168597828,Tracy,,District 13,32.8914648,-96.7634587,Private room,55,15,0,,,1,269,0,
1157247278588877732,Ten minutes away from downtown Dallas Big Room.,34843188,Raul,,District 3,32.664813892120925,-96.82197266801397,Private room,500,1,7,2024-07-04,2.41,3,52,7,
1157383073085870570,Cabaña,567399390,Crv,,District 8,32.67332,-96.75394,Entire home/apt,72,1,7,2024-07-28,2.31,2,269,7,
1157649200239021971,"Bold CozySuites w/ gym, roof #11",372592509,CozySuites Dallas,,District 14,32.7830199,-96.80086539999999,Entire home/apt,104,2,5,2024-07-01,2.46,48,12,5,
1157994994059682350,2 BR & 2 Full Bath | Downtown | Free Valet Parking,181794187,Syed,,District 2,32.77851,-96.7971,Entire home/apt,83,2,4,2024-06-14,1.30,18,325,4,
